,jobTitles,company,salaryRange,Bonus,category+progLang,seniority,workLanguage,location,remote
0, Java Developer do naší SW factory ," ADASTRA, s.r.o. ", 90k  - 140k  CZK ,," Kategorie:  Backend ,  java "," Mid, Senior ","Pracovní jazyk:Čeština, Angličtina"," Hybrid  +2 •Praha, Karolínská 706/3•Praha 20% na místě, 80% na dálku  ",
1, Senior .NET Engineer , ACTUM Digital , 90k  - 130k  CZK ,," Kategorie:  Backend ,  .net "," Senior, Expert ","Pracovní jazyk:Čeština, Angličtina"," Hybrid  +1 •Praha, Plynární 1617/10 ",
2, Backend Engineer - SaaS Platform , SentinelOne , 100k  - 200k  CZK ,," Kategorie:  Backend ,  Golang "," Mid, Senior ",Pracovní jazyk:Angličtina," Prague, Brno •Na dálku•Prague, Karolinská 707/7•Brno, Holandská 2 ", Na dálku 
3, SW Engineer-Scala/Go: Realtime Detection , SentinelOne , 100k  - 200k  CZK ,," Kategorie:  Backend ,  scala "," Mid, Senior ",Pracovní jazyk:Angličtina," Prague, Brno •Na dálku•Prague, Karolinská 707/7•Brno, Holandská 2 ", Na dálku 
4, Senior Java Developer (Big Data) , SentinelOne , 100k  - 200k  CZK ,," Kategorie:  Backend ,  java "," Mid, Senior ",Pracovní jazyk:Angličtina," Prague, Brno •Na dálku•Prague, Karolinská 707/7•Brno, Holandská 2 ", Na dálku 
5, Kotlin Developer ," Onlio, a.s. ", 46.2k  - 92.4k  CZK ,," Kategorie:  Backend ,  java ", Mid ,Pracovní jazyk:Čeština," Hybrid  +1 •Praha 7, U garáží 1611/1 40% na místě, 60% na dálku  ",
6, Java Developer , Neovia , 140k  - 200k  CZK ,," Kategorie:  Backend ,  java "," Mid, Senior ",Pracovní jazyk:Čeština, Hybrid  +1 •Praha ,
7, Node.js Backend Mid Developer , Viable One s.r.o. , 100k  - 170k  CZK ,," Kategorie:  Backend ,  node.js "," Mid, Senior ",Pracovní jazyk:Čeština," Hybrid  +1 •Praha, Jankovcova 1603/47a ",
8, Senior Python Developer , Comfort Finance Group , 80k  - 120k  CZK ,," Kategorie:  Backend ,  python "," Mid, Senior ",Pracovní jazyk:Čeština," Hybrid  +1 •Prague, Vinohradská 2396/184 ",
9, Senior PHP Engineer , ShipMonk , 80k  - 150k  CZK ,," Kategorie:  Backend ,  php ", Senior ,Pracovní jazyk:Angličtina," Hybrid  +1 •Prague, Rohanske nabrezi 23 40% na místě, 60% na dálku  ",
10, Django backend Developer , RES-Q Global , 55k  - 80k  CZK ,," Kategorie:  Backend ,  python "," Mid, Senior ","Pracovní jazyk:Angličtina, Čeština"," Brno, Božetěchova 62 •Brno, Božetěchova 62 ",
11, Team Lead Backend Development (m/f/d) , PlanRadar , 126.5k  - 189.8k  CZK ,," Kategorie:  Backend ,  ruby on rails ", Expert ,Pracovní jazyk:Angličtina," Hybrid  +1 •Vienna, Kärntner Ring 5-7 ",
12, NodeJS Backend Developer 🔥 , Dayswaps , 67.2k  - 117.6k  CZK ,10k CZK," Kategorie:  Backend ,  node ", Mid ,"Pracovní jazyk:Čeština, Slovenština"," Hybrid  +1 •Prague, Na Zderaze 5 ",
13, Backend Developer ," PECOSTA, a.s. ", 60k  - 90k  CZK ,," Kategorie:  Backend ,  .net "," Mid, Senior ",Pracovní jazyk:Čeština," Hybrid  +1 •Ostrava, Nemocniční 987/12 ",
14, PHP Developer (mid/senior) Praha/Brno , 1.Web IT s.r.o. , 50k  - 95k  CZK ,," Kategorie:  Backend ,  php "," Mid, Senior ",Pracovní jazyk:Čeština," Hybrid  +2 •Praha, Drtinova 557/10•Brno, Cyrilská 7 60% na místě, 40% na dálku  ",
