,jobTitles,seniority,workLanguage,angličtina,česky,location,remoteAdj,salAvg,category,mainProgLangAdj
0,Java Developer ,Mid Advanced,česky,False,True," Hybrid  +1 • Praha  40% on-site, 60% remotely  ",Hybrid or no remote,136500.0,Backend, java
3,Python / Delphi Developer ,Mid,česky,False,True," Hybrid  +1 • Žďár nad Sázavou , Smetanova 1169/34, Žďár nad Sázavou ",Hybrid or no remote,47500.0,Backend, python
4,3d Graphics Developer ,Mid,česky,False,True,Prague  (Po pandemi) • Prague  ,Hybrid or no remote,89250.0,Backend,other
5,(Senior) Software Developer ,Senior,"angličtina, německy",True,False,Hybrid  +1 • Niederdreisbach  ,Hybrid or no remote,135850.0,Backend, python
6,Senior Backend Developer ,Senior,"česky, angličtina",True,True," Hybrid  +1 • Praha , Klimentská 36 ",Hybrid or no remote,65000.0,Backend,
7,Backend Developer Web Applications ,Mid Advanced,angličtina,True,False,Hybrid  +1 • Düsseldorf  ,Hybrid or no remote,146300.0,Backend, javascript
8,C++ Developer ,Mid Advanced,česky,False,True," Prague, Altajská 1568/4  (Po pandemi) • Prague , Altajská 1568/4 ",Hybrid or no remote,105000.0,Backend,other
9,C# Developer ,Mid Advanced,česky,False,True," Prague, Altajská 1568/4  (Po pandemi) • Prague , Altajská 1568/4 ",Hybrid or no remote,105000.0,Backend,other
10,Java developer u Medvědů ,Mid Advanced,česky,False,True," Hybrid  +1 • Praha , Vítkova 241/10 ",Hybrid or no remote,90000.0,Backend, java
11,.NET Developer ,Mid,"česky, angličtina",True,True," Brno, Vlněna • Remote • Brno , Vlněna ",Remote,131250.0,Backend, net
12,Senior Backend Developer ,Mid Advanced,"česky, angličtina",True,True," Praha, Rohanské nábř. 19 • Remote • Praha , Rohanské nábř. 19 ",Remote,80000.0,Backend, node
13,Node.js Developer ,Mid Advanced,"česky, angličtina",True,True," Hybrid  +1 • Praha  60% on-site, 40% remotely  ",Hybrid or no remote,95000.0,Backend,other
14,BackEnd(Python/Django) Tech Lead ,Senior,"česky, angličtina",True,True," Prague, Žitomírská 599/38  (Po pandemi) • Prague , Žitomírská 599/38 ",Hybrid or no remote,90000.0,Backend, python
15,Remote Java Developer Senior ,Senior,česky,False,True," Opava, Pekařská 58 • Remote • Opava , Pekařská 58 ",Remote,85000.0,Backend, java
16,Remote Java Developer Junior ,Junior,česky,False,True," Opava, Pekařská 58 • Remote • Opava , Pekařská 58 ",Remote,42500.0,Backend, java
17,Remote Java Developer Medior ,Mid,česky,False,True," Opava, Pekařská 58 • Remote • Opava , Pekařská 58 ",Remote,60000.0,Backend, java
18," Medior Python Developer (Django, AWS) ",Mid,"česky, angličtina",True,True," Hybrid  +1 • Praha , HubHub Palác ARA, Perlová 5 ",Hybrid or no remote,100000.0,Backend, python
