,jobTitles,company,salaryRange,Bonus,category+progLang,seniority,workLanguage,location,remote
0, Java Developer , eppTec s.r.o. , 105k  - 168k  CZK ,,"Backend, java"," Mid, Senior ",Work language:česky," Hybrid  +1 • Praha  40% on-site, 60% remotely  ",
1, SW Application Developer C++ , Consultech Recruitment Services s.r.o , 60k  - 95k  CZK ,,"Backend, MS Visual Studio", Mid ,Work language:," Hybrid  +1 • Prague  80% on-site, 20% remotely  ",
2, Junior C++ Developer , Consultech Recruitment Services s.r.o , 45k  - 55k  CZK ,,"Backend, C++", Junior ,Work language:," Hybrid  +1 • Plzen  80% on-site, 20% remotely  ",
3, Python / Delphi Developer ," Kolibrik.net, sro ", 40k  - 55k  CZK ,,"Backend, python", Mid ,Work language:česky," Hybrid  +1 • Žďár nad Sázavou , Smetanova 1169/34, Žďár nad Sázavou ",
4, 3d Graphics Developer , Sourcein , 63k  - 115.5k  CZK ,,"Backend, c++", Mid ,Work language:česky, Prague  (Po pandemi) • Prague  , Covid-time na dálku 
5, (Senior) Software Developer , ROTH + WEBER GmbH , 104.5k  - 167.2k  CZK ,,"Backend, python", Senior ,"Work language:angličtina, německy", Hybrid  +1 • Niederdreisbach  ,
6, Senior Backend Developer , VISUALIO , 50k  - 80k  CZK ,,Backend, Senior ,"Work language:česky, angličtina"," Hybrid  +1 • Praha , Klimentská 36 ",
7, Backend Developer Web Applications , Rheinmetall , 125.4k  - 167.2k  CZK ,,"Backend, javascript"," Mid, Senior ",Work language:angličtina, Hybrid  +1 • Düsseldorf  ,
8, C++ Developer , Sourcein , 70k  - 140k  CZK ,,"Backend, C#"," Mid, Senior ",Work language:česky," Prague, Altajská 1568/4  (Po pandemi) • Prague , Altajská 1568/4 ", Covid-time na dálku 
9, C# Developer , Sourcein , 70k  - 140k  CZK ,,"Backend, C#"," Mid, Senior ",Work language:česky," Prague, Altajská 1568/4  (Po pandemi) • Prague , Altajská 1568/4 ", Covid-time na dálku 
10, Java developer u Medvědů , Coding Bear , 60k  - 120k  CZK ,,"Backend, java"," Mid, Senior ",Work language:česky," Hybrid  +1 • Praha , Vítkova 241/10 ",
11, .NET Developer , Continero Corp s.r.o. , 126k  - 136.5k  CZK ,,"Backend, .net", Mid ,"Work language:česky, angličtina"," Brno, Vlněna • Remote • Brno , Vlněna ", Na dálku 
12, Senior Backend Developer , DX Heroes , 60k  - 100k  CZK ,,"Backend, node"," Mid, Senior ","Work language:česky, angličtina"," Praha, Rohanské nábř. 19 • Remote • Praha , Rohanské nábř. 19 ", Na dálku 
13, Node.js Developer , Consultech Recruitment Services s.r.o , 80k  - 110k  CZK ,,"Backend, Node.JS"," Mid, Senior ","Work language:česky, angličtina"," Hybrid  +1 • Praha  60% on-site, 40% remotely  ",
14, BackEnd(Python/Django) Tech Lead , Think Easy s.r.o. , 60k  - 120k  CZK , +15% ,"Backend, python"," Senior, Expert ","Work language:česky, angličtina"," Prague, Žitomírská 599/38  (Po pandemi) • Prague , Žitomírská 599/38 ", Covid-time na dálku 
15, Remote Java Developer Senior , GRiT s.r.o. , 70k  - 100k  CZK ,,"Backend, java", Senior ,Work language:česky," Opava, Pekařská 58 • Remote • Opava , Pekařská 58 ", Na dálku 
16, Remote Java Developer Junior , GRiT s.r.o. , 35k  - 50k  CZK ,,"Backend, java", Junior ,Work language:česky," Opava, Pekařská 58 • Remote • Opava , Pekařská 58 ", Na dálku 
17, Remote Java Developer Medior , GRiT s.r.o. , 50k  - 70k  CZK ,,"Backend, java", Mid ,Work language:česky," Opava, Pekařská 58 • Remote • Opava , Pekařská 58 ", Na dálku 
18," Medior Python Developer (Django, AWS) ", BlockCzech R&D Labs , 80k  - 120k  CZK ,,"Backend, python", Mid ,"Work language:česky, angličtina"," Hybrid  +1 • Praha , HubHub Palác ARA, Perlová 5 ",
19," Senior Python Developer (Django, AWS) ", BlockCzech R&D Labs , 120k  - 160k  CZK ,,"Backend, python", Senior ,"Work language:česky, angličtina"," Hybrid  +1 • Praha , HubHub Palác ARA, Perlová 5 ",
20, Java Developer ," INBRAIT, s.r.o. ", 147k  - 189k  CZK ,,"Backend, java"," Mid, Senior ",Work language:česky," Hybrid  +1 • Praha  40% on-site, 60% remotely  ",
21, Java Developer Senior , SABO Mobile IT , 80k  - 150k  CZK ,,"Backend, java", Senior ,"Work language:angličtina, česky", Hybrid  +2 • Prague • Olomouc  ,
22, .NET Backend Developer Medior/Senior , SABO Mobile IT , 80k  - 150k  CZK ,,"Backend, .net"," Mid, Senior ","Work language:angličtina, česky", Hybrid  +2 • Prague • Olomouc  ,
23, Salesforce Developer , Sourcein , 70k  - 110k  CZK ,,"Backend, salesforce", Mid ,Work language:angličtina," Hybrid  +1 • Prague , Voctářova 20% on-site, 80% remotely  ",
24, Python Developer , Retailys.com s.r.o. , 60k  - 100k  CZK ,,"Backend, python", Mid ,"Work language:česky, angličtina"," Hybrid  +3 • Klatovy • Plzeň • Praha  40% on-site, 60% remotely  ",
25, .NET Developer , Prague Labs s.r.o. , 55k  - 110k  CZK ,,"Backend, .net", Mid ,"Work language:česky, angličtina", Hybrid  +1 • Europe  ,
26, Backend Developer , Lemonero , 50k  - 75k  CZK ,,"Backend, php", Mid ,"Work language:česky, angličtina"," Hybrid  +1 • Ostrava , Pohraniční 504/27 20% on-site, 80% remotely  ",
27," Java Developer - zdravotnictví, letectví ", Randstad HR Solutions s.r.o. , 70k  - 90k  CZK ,,"Backend, java", Mid ,Work language:česky," Hybrid  +2 • Praha • Plzeň  60% on-site, 40% remotely  ",
28, Solution Architect , Randstad HR Solutions s.r.o. , 100k  - 150k  CZK ,,"Backend, Enterprise Architect"," Mid, Senior ",Work language:česky," Hybrid  +1 • Praha  60% on-site, 40% remotely  ",
29, C++ Embedded - automotive , Randstad HR Solutions s.r.o. , 75k  - 100k  CZK ,,"Backend, c++", Mid ,"Work language:česky, angličtina", Hybrid  +1 • Praha  ,
30, Lead Engineer Node.js , OAK'S LAB , 75k  - 150k  CZK ,,"Backend, node", Senior ,Work language:česky," Prague, Old Town Square 604/14  (Po pandemi) • Prague , Old Town Square 604/14 ", Covid-time na dálku 
31, Backend Engineer (Node.js) , OAK'S LAB , 70k  - 140k  CZK ,,"Backend, NodeJS", Mid ,Work language:česky," Prague, Old Town Square 604/14  (Po pandemi) • Prague , Old Town Square 604/14 ", Covid-time na dálku 
32, PHP Developer , Prusa Research , 70k  - 100k  CZK , +10% ,"Backend, php"," Mid, Senior ","Work language:česky, angličtina"," Praha, Partyzánská 188/7a • Remote • Praha , Partyzánská 188/7a ", Na dálku 
33, .NET Developer , Kentico , 50k  CZK ,,"Backend, .net", Junior ,Work language:česky, Hybrid  +1 • Brno  ,
34, Senior .Net Developer , Kentico , 100k  CZK ,,"Backend, .net"," Mid, Senior ",Work language:česky, Hybrid  +1 • Brno  ,
35, Backend Engineer - Real Time , Sourcein , 70k  - 140k  CZK ,,"Backend, java"," Mid, Senior ",Work language:česky," Prague, Altajská 1568/4  (Po pandemi) • Prague , Altajská 1568/4 ", Covid-time na dálku 
36, Senior Backend developer , Mild blue , 70k  - 130k  CZK ,,"Backend, java", Senior ,Work language:česky," Hybrid  +1 • Prague , Plzeňská 168 ",
37, 🔥 Backend Engineer (Nest.JS/Typescript) , OP Tiger s.r.o. , 90k  - 110k  CZK ,,"Backend, node", Senior ,Work language:česky," Praha - Holešovice, Jankovcova 1522/23 • Remote • Praha - Holešovice , Jankovcova 1522/23 ", Na dálku 
38, Backend Developer - Golang , profiq s.r.o. , 50k  - 90k  CZK , +10% ,"Backend, go", Mid ,Work language:česky," Ostrava, Praha - Holešovice  (Po pandemi) • Ostrava , Studentská 17• Praha - Holešovice , Veletržní 14 ", Covid-time na dálku 
39, Senior Python Developer , mallpay s. r. o. , 70k  - 115.1k  CZK ,,"Backend, python", Senior ,Work language:česky," Hybrid  +1 • Praha , U Garáží 1611/1 40% on-site, 60% remotely  ",
40, Ruby/Rails dev for fast growing start-up , Avvoka , 120k  - 180k  CZK ,,"Backend, ruby on rails", Expert ,"Work language:česky, angličtina"," Hybrid  +1 • Praha 6 , Bubeneč / Dejvice ",
41, Python Developer , Continero Corp s.r.o. , 126k  - 147k  CZK ,,"Backend, python"," Mid, Senior ","Work language:česky, angličtina", Brno • Remote • Brno  , Na dálku 
42, C/C++ developer for R&D , Natek , 94.5k  - 140.7k  CZK ,,"Backend, c"," Mid, Senior ","Work language:česky, angličtina"," Hybrid  +1 • Prague  40% on-site, 60% remotely  ",
43, Senior Java Engineer , NATEK , 140.7k  CZK ,,"Backend, java", Senior ,"Work language:česky, angličtina", Prague  (Po pandemi) • Prague  , Covid-time na dálku 
44," Back-End Developer (.NET Core, Azure) "," DoDo Czech, s.r.o. ", 50k  - 80k  CZK ,,"Backend, .net", Mid ,Work language:česky," Prague, Křižíkova 148/34 • Prague , Křižíkova 148/34 ",
45, Senior C++ SW Engineer , Andrew Paulsen IT recruitment , 100k  - 190k  CZK , +30% ,"Backend, c++", Senior ,Work language:angličtina," Hybrid  +1 • Prague  60% on-site, 40% remotely  ",
46, C/C++ Developer , BIM Project , 60k  - 110k  CZK ,,"Backend, c++"," Mid, Senior ",Work language:," Hybrid  +1 • Prague , Hostalkova 740/48 60% on-site, 40% remotely  ",
47, C# Developer , BIM Project , 60k  - 110k  CZK ,,"Backend, .net"," Mid, Senior ",Work language:," Hybrid  +1 • Prague , Hostalkova 740/48 60% on-site, 40% remotely  ",
48, Junior Software Developer , Devire s.r.o. , 30k  - 55k  CZK ,,"Backend, .net", Junior ,"Work language:česky, angličtina", Hybrid  +1 • Brno  ,
49, Backend Java Engineer , Cleevio , 70k  - 120k  CZK ,,"Backend, java"," Mid, Senior ","Work language:česky, angličtina"," Praha, Brno  (Po pandemi) • Praha , Rašínovo nábřeží 71/10, Vyšehrad• Brno , Lesnická 1802/11 ", Covid-time na dálku 
50, Senior PHP Nette / Symfony developer , Cleevio , 77.2k  - 134.4k  CZK ,,"Backend, php", Senior ,"Work language:česky, angličtina"," Praha, Brno, Bratislava • Remote • Praha , Rašínovo nábřeží 71/10, Vyšehrad• Brno , Lesnická 1802/11• Bratislava  ", Na dálku 
51, Scala Developer , Avast , 70k  - 85k  CZK , +50% ,"Backend, scala"," Mid, Senior ",Work language:," Prague, Brno, Žilina  (Po pandemi) • Prague • Brno • Žilina  ", Covid-time na dálku 
52, Java Developer , Sigma IT Poland , 90k  - 135k  CZK ,,"Backend, java"," Mid, Senior ","Work language:angličtina, česky", Hybrid  +1 • Praha  ,
53," Backend developer (Python, GO) ", SentinelOne , 100k  - 200k  CZK ,,"Backend, python"," Mid, Senior ",Work language:angličtina," Prague, Brno • Remote • Prague , Karolinská 654/2• Brno , Holandská 2 ", Na dálku 
54, Medio/senior SW engineer , R4U s.r.o. , 80k  - 150k  CZK ,,"Backend, python"," Mid, Senior ",Work language:česky, Prague  (Po pandemi) • Prague  , Covid-time na dálku 
55, Software engineer for long term projects , R4U s.r.o. , 80k  - 150k  CZK , +15% ,"Backend, python"," Mid, Senior ",Work language:angličtina, Prague  (Po pandemi) • Prague  , Covid-time na dálku 
56, Software Engineer (C++) with Linux OS , SentinelOne , 100k  - 200k  CZK ,,"Backend, c++"," Mid, Senior ",Work language:angličtina," Prague, Brno • Remote • Prague , Karolinská 654/2• Brno , Holandská 2 ", Na dálku 
57, .NET Developer ," Logex Solution Center, s.r.o. ", 35k  - 70k  CZK ,,"Backend, .net", Junior ,"Work language:česky, angličtina"," Hybrid  +1 • Brno , Nové sady 996/25 ",
58, Database Developer ," Logex Solution Center, s.r.o. ", 35k  - 70k  CZK ,,"Backend, sql", Junior ,"Work language:česky, angličtina"," Hybrid  +1 • Brno , Nové sady 996/25 ",
59, Java vývojář ," Etnetera, a.s. ", 40k  - 80k  CZK ,,"Backend, java"," Mid, Senior ",Work language:česky," Hybrid  +1 • Praha , jankovcova 49 ",
60, Backend Developer , Ceros , 70k  - 110k  CZK ,,"Backend, python", Mid ,Work language:angličtina," Praha, Ostrovni 30 • Remote • Praha , Ostrovni 30 ", Na dálku 
61, Remote Python Developer , Flowcutter s.r.o. , 60k  - 110k  CZK ,,"Backend, python", Mid ,"Work language:česky, angličtina"," Praha 5, Drtinova 10 • Remote • Praha 5 , Drtinova 10 ", Na dálku 
62, PHP (Nette) Developer - možno i remote , monit s.r.o. , 40k  - 80k  CZK ,,"Backend, php", Mid ,"Work language:angličtina, česky", Hybrid  +1 • Brno  ,
63, PHP Developer , 1. Web IT , 45k  - 90k  CZK ,,"Backend, php"," Mid, Senior ",Work language:česky," Hybrid  +3 • Brno , Cyrilská 7• Praha , Drtinova 10• Liberec  ",
64, PHP Developer (Junior or Mid) , 1.WebIT , 35k  - 70k  CZK ,,"Backend, php", Mid ,Work language:," Praha, Brno • Remote • Praha , Drtinova 557/10• Brno , Cyrilská 7 ", Na dálku 
65, C++/Python developer , Seznam.cz , 45k  - 90k  CZK , +10% ,"Backend, python"," Mid, Senior ",Work language:česky," Hybrid  +5 • Prague , Radlická 10• Brno , Londýnské náměstí 2• Ostrava , Ruská 11• Olomouc , Střední novosadská 767/4• Liberec , Rumunská 655 40% on-site, 60% remotely  ",
66, Backend Developer , Seznam.cz , 40k  - 70k  CZK , +10% ,"Backend, python", Mid ,Work language:česky," Brno, Londýnské náměstí 2  (Po pandemi) • Brno , Londýnské náměstí 2 ", Covid-time na dálku 
67, Python vývojář/ka pro Sklik.cz , Seznam.cz , 50k  - 100k  CZK , +10% ,"Backend, python"," Mid, Senior ",Work language:česky," Praha, Brno  (Po pandemi) • Praha , Radlická 10• Brno , Londýnské náměstí 2 ", Covid-time na dálku 
68, Backend(Python/Django) Developer Senior , Think Easy s.r.o. , 60k  - 100k  CZK , +15% ,"Backend, python"," Mid, Senior ",Work language:," Prague, Žitomírská 599/38  (Po pandemi) • Prague , Žitomírská 599/38 ", Covid-time na dálku 
69, .NET SW Development Team Leader , Consultech Recruitment Services s.r.o , 80k  - 100k  CZK ,,"Backend, .net"," Senior, Expert ",Work language:česky, Hybrid  +1 • Plzen  ,
70, Java Engineer , Altersis Czech republic , 157.5k  - 210k  CZK ,,"Backend, java"," Mid, Senior ",Work language:česky," Praha, Želetavská 1525/1  (Po pandemi) • Praha , Želetavská 1525/1 ", Covid-time na dálku 
71, Python Developer , 1. Web IT , 35k  - 60k  CZK ,,"Backend, python", Mid ,Work language:česky," Praha, Brno  (Po pandemi) • Praha , Drtinova 10• Brno , Cyrilská 7 ", Covid-time na dálku 
72, Java Developer ," Manta Tools, s.r.o. ", 50k  - 70k  CZK ,,"Backend, java", Junior ,"Work language:česky, angličtina"," Praha, nám. I. P. Pavlova 3  (Po pandemi) • Praha , nám. I. P. Pavlova 3 ", Covid-time na dálku 
73, PHP Developer (Praha/Brno/Liberec) , 1. Web IT , 45k  - 90k  CZK ,,"Backend, php"," Mid, Senior ",Work language:česky," Hybrid  +3 • Brno , Cyrilská 7• Praha , Drtinova 10• Liberec  ",
74, Java Developer , Applifting , 58.8k  - 116k  CZK ,,"Backend, java", Mid ,"Work language:česky, angličtina"," Hybrid  +1 • Praha , Rohanské nábřeží 19 ",
75, Senior PHP Developer , Freelo , 50k  - 60k  CZK ,,"Backend, php", Senior ,Work language:," Hybrid  +1 • Pardubice , Jahnova 8 ",
76, Java Developer , Neovia , 140k  - 200k  CZK ,,"Backend, java"," Mid, Senior ",Work language:česky, Hybrid  +1 • Praha  ,
77, .NET Developer , Neovia , 147k  - 273k  CZK ,,"Backend, .net", Mid ,Work language:česky, Hybrid  +1 • Praha  ,
78, Remote Senior PHP Developer , Neovia , 40k  - 78k  CZK ,,"Backend, php"," Senior, Expert ",Work language:česky, Prague • Remote • Prague  , Na dálku 
79, Remote Senior Java Developer , BeiT , 70k  - 130k  CZK ,,"Backend, java", Senior ,Work language:,, Na dálku 
80, Senior Python Engineer , Braiins/Slush Pool , 60k  - 120k  CZK ,,"Backend, python", Senior ,"Work language:česky, angličtina"," Hybrid  +1 • Praha , Křižíkova 148/34 ",
81, Senior Rust Developer , Braiins , 70k  - 140k  CZK ,,"Backend, Rust", Senior ,"Work language:česky, angličtina"," Praha 8 - Karlín, Krizikova 148/34 • Remote • Praha 8 - Karlín , Krizikova 148/34 ", Na dálku 
82, Python Developer , Continero Corp s.r.o. , 126k  - 147k  CZK ,,"Backend, python"," Mid, Senior ","Work language:česky, angličtina", Brno • Remote • Brno  , Na dálku 
83, .NET Developer , Continero Corp s.r.o. , 126k  - 136.5k  CZK ,,"Backend, .net", Mid ,"Work language:česky, angličtina"," Brno, Vlněna • Remote • Brno , Vlněna ", Na dálku 
84, PHP Developer , Seven Reasons , 80k  CZK , +5% ,"Backend, php"," Mid, Senior ",Work language:česky, Prague • Prague  ,
85, Remote PHP Developer (Symfony) , Devix , 63k  - 126k  CZK ,,"Backend, php"," Mid, Senior ",Work language:, Prague • Remote • Prague  , Na dálku 
86, Senior Backend Developer , FlashNews s.r.o. , 60k  - 100k  CZK ,,"Backend, node", Senior ,Work language:česky," Hybrid  +1 • Praha , Václavské náměstí 2132/47 40% on-site, 60% remotely  ",
